id, timestamp, demand, frequency, coal, nuclear, ccgt, wind, pumped, hydro, biomass, oil, solar, ocgt, french_ict, dutch_ict, irish_ict, ew_ict, nemo, other, north_south, scotland_england, ifa2, intelec_ict, nsl
1179507, 2022-08-21 00:00:40, 24877, 49.966, 0, 4528, 10455, 8477, 0, 95, 1183, 0, 0, 0, -992, -598, -18, 0, -946, 139, 6369, 2737, -1028, -948, -748
1179508, 2022-08-21 00:05:39, 24826, 50.015999, 0, 4529, 10398, 8499, 0, 95, 1166, 0, 0, 0, -992, -598, -18, 0, -946, 139, 6330, 2850, -1028, -948, -748
1179509, 2022-08-21 00:11:24, 25057, 49.984001, 0, 4516, 10437, 8632, 0, 97, 1230, 0, 0, 0, -992, -598, -18, 0, -946, 145, 6335, 2889, -1028, -948, -748
1179510, 2022-08-21 00:15:42, 24951, 49.986, 0, 4512, 10425, 8517, 0, 98, 1249, 0, 0, 0, -992, -598, -18, 0, -946, 150, 6289, 2991, -1028, -948, -748
1179511, 2022-08-21 00:20:40, 24892, 50.028999, 0, 4518, 10453, 8483, 0, 98, 1201, 0, 0, 0, -1000, -598, -72, 0, -946, 139, 6287, 2995, -1028, -944, -748
1179512, 2022-08-21 00:25:40, 24877, 49.986, 0, 4528, 10455, 8477, 0, 95, 1183, 0, 0, 0, -1000, -598, -72, 0, -946, 139, 6304, 3045, -1028, -944, -748
1179513, 2022-08-21 00:30:41, 24826, 49.964001, 0, 4529, 10398, 8499, 0, 95, 1166, 0, 0, 0, -1000, -598, -72, 0, -946, 139, 6331, 3013, -1028, -944, -748
1179514, 2022-08-21 00:35:40, 24826, 49.924, 0, 4529, 10398, 8499, 0, 95, 1166, 0, 0, 0, -1028, -684, 0, 0, -748, 139, 6337, 3025, -1028, -972, -746
1179515, 2022-08-21 00:41:13, 24790, 49.976002, 0, 4528, 10338, 8494, 0, 95, 1182, 0, 0, 0, -1000, -598, -72, 0, -946, 139, 6377, 3044, -1028, -944, -748
1179516, 2022-08-21 00:45:38, 24306, 49.995998, 0, 4516, 10146, 8338, 0, 79, 942, 0, 0, 0, -1028, -684, 140, 0, -748, 145, 6415, 3087, -1028, -972, -746
